Holomoz A.,Yakymchuk Y.,1,3,"['11', '6', '8', '2']","['5', '11', '11', '11']",11.11. 21:50,djUdal4B
Povalyaev V.,Yushko R.,3,2,"['9', '11', '7', '11', '11']","['11', '6', '11', '8', '5']",11.11. 21:55,r7vkkPUS
Rybka A.,Kalachevskyi D.,-,-,[],[],11.11. 22:25WO,6NGZdDS6
Zaporozhets D.,Dynaburg L.,3,1,"['11', '11', '5', '11']","['8', '3', '11', '5']",11.11. 22:15,KQt9BCs0
Nadporozhskyi O.,Hrymovskyi O.,0,3,"['8', '4', '4']","['11', '11', '11']",11.11. 22:15,INkBEK9F
Pereguda O.,Melnykov V.,0,3,"['4', '8', '8']","['11', '11', '11']",11.11. 22:20,AgY0b8JH
Peretiatko A.,Bonishchuk T.,2,3,"['15', '11', '11', '11', '8']","['17', '9', '6', '13', '11']",11.11. 22:25,00KlSwvF
Ratushniak V.,Omelchuk I.,2,3,"['12', '11', '8', '10', '5']","['10', '6', '11', '12', '11']",11.11. 22:30,ln6vdXsD
Leonenko O.,Volkovskyi V.,3,0,"['11', '11', '11']","['5', '7', '6']",11.11. 22:45,2kWDAWd6
Zhyrnov O.,Teteruk M.,3,2,"['8', '11', '6', '11', '11']","['11', '8', '11', '6', '8']",11.11. 22:45,ERnYh7V3
Yakymchuk Y.,Burdelnyi S.,3,1,"['11', '6', '11', '11']","['9', '11', '9', '9']",11.11. 22:50,hIN5cSYN
Yushko R.,Ivanov E.,2,3,"['11', '11', '7', '7', '6']","['6', '9', '11', '11', '11']",11.11. 22:55,viJhRcgL
Filenko O.,Kalachevskyi D.,2,3,"['12', '13', '9', '3', '5']","['10', '11', '11', '11', '11']",11.11. 23:00,2kAreicJ
Reva Y.,Zaporozhets D.,3,2,"['1', '12', '11', '7', '12']","['11', '10', '9', '11', '10']",11.11. 23:10,ttVH9jCC
Vlasenko V.,Nadporozhskyi O.,3,1,"['11', '9', '11', '11']","['7', '11', '7', '9']",11.11. 23:15,0nuGDvPL
Lymarenko O.,Holomoz A.,1,3,"['4', '14', '6', '9']","['11', '12', '11', '11']",11.11. 23:20,W8M9dnlU
Polusmiak V.,Povalyaev V.,3,2,"['6', '11', '14', '5', '14']","['11', '2', '12', '11', '12']",11.11. 23:25,8QNdQH8R
Rybka A.,Ratushniak V.,-,-,[],[],11.11. 23:30WO,GhbQJzzK
