name,url,scraped
Kovalenko Vl.,/player/kovalenko-vladislav/0nc9ZxlJ,True
Portnov H.,/player/portnov-hennadii/Chiq6wXa,True
Hrytsai A.,/player/hrytsai-andrii/dAQ5ms3E,True
Sharanyuk O.,/player/sharanyuk-oleksandr/zBYHb7sl,True
Kobets V.,/player/kobets-vitalii/IJR1lNm8,True
Sokoltsov Y.,/player/sokoltsov-yevhenii/4zUDoLXQ,True
Melashenko O.,/player/melashenko-oleksandr/4vpFQJe1,True
Khudoshin N.,/player/khudoshin-nikolay/OK4x9ZpF,True
Oleynik I.,/player/oleynik-ivan/MNMs2TxF,True
Maksimchuk A.,/player/maksimchuk-artem/Au7DNXfG,True
Mashtakov A.,/player/mashtakov-alexander/tW1ZMa4D,True
Kuleshov N.,/player/kuleshov-nikolay/8phGmn8F,True
Zamniborsch V.,/player/zamniborsch-vitaly/ddix1hSM,True
Pilguy A.,/player/pilguy-alexander/jF4DbJk2,True
Pasternak V.,/player/pasternak-vladimir/vFLHdAFg,True
Boychuk V.,/player/boychuk-vladimir/Szp8k8w3,True
Dalevsky O.,/player/dalevsky-oleksandr/zPXS2OxD,True
Moroz P.,/player/moroz-pavel/Wno3RJ50,True
Dotsenko V.,/player/dotsenko-vladislav/fi7lJG9i,True
Dyakov V.,/player/dyakov-vladimir/CYli1Eeb,True
Kiyanov A.,/player/kiyanov-alexey/rFpLTtZ6,True
Zharko I.,/player/zharko-igor/AaZClSh9,True
Shalgorodskiy N.,/player/shalgorodskiy-nikolay/YDGVCgAG,True
Suslov A.,/player/suslov-andrey/CYtt6Q67,True
Tretyakov A.,/player/tretyakov-alexander/M3lHSjLA,True
Kovalev M.,/player/kovalev-mikhail/hCtzTKG4,True
Olshakov K.,/player/olshakov-konstantin/rqjsekWc,True
Marchenko M.,/player/marchenko-mikhail/xQ3Lxldq,True
Martovickiy V.,/player/martovickiy-valery/vBePEbWF,True
Muravyev L.,/player/muravyev-leonid/votAav1C,True
Kabanov E.,/player/kabanov-eduard/WphHGK13,True
Korolev S.,/player/korolev-semyon/jmpJW2Hu,True
