lPlayer,rPlayer,lScore,rScore,lGames,rGames,datetime,id
Peretiatko A.,Kyilo V.,3,2,"['18', '11', '11', '9', '11']","['20', '8', '3', '11', '8']",14.12. 02:55,OOd33Apb
Kasianyk N.,Volynets O.,3,1,"['8', '11', '11', '11']","['11', '8', '6', '7']",14.12. 02:45,tMKmj0As
Yurchenko K.,Ivashkin O.,3,0,"['11', '11', '11']","['7', '4', '5']",14.12. 02:35,Y1ImLuB7
Onischenko R.,Lisechko A.,1,3,"['9', '11', '8', '9']","['11', '8', '11', '11']",14.12. 02:25,t07b4jVi
Lutsenko V.,Voitenko Y.,3,1,"['11', '7', '13', '11']","['4', '11', '11', '6']",14.12. 02:15,40TLft2Q
Chornobab V.,Kozachuk I.,3,0,"['11', '11', '11']","['5', '5', '9']",14.12. 02:05,fBJqMLe1
Kyilo V.,Diachenko I.,3,1,"['11', '5', '12', '11']","['6', '11', '10', '6']",14.12. 01:55,Sd3f5WFo
Havryliuk B.,Volynets O.,2,3,"['5', '2', '11', '11', '4']","['11', '11', '9', '5', '11']",14.12. 01:40,MyvHeMnK
Zholubak M.,Ivashkin O.,3,1,"['11', '13', '10', '12']","['9', '11', '12', '10']",14.12. 01:30,noKuN1te
Peretiatko A.,Volkov P.,3,0,"['11', '11', '11']","['6', '7', '7']",14.12. 01:25,EgFCtmwo
Volkov Y.,Tkachenko A.,3,1,"['11', '11', '7', '11']","['3', '2', '11', '8']",14.12. 01:25,Ek7J3Jvs
Voitenko Y.,Semenenko N.,1,3,"['4', '3', '11', '7']","['11', '11', '8', '11']",14.12. 01:10,rouDd2XD
Kozachuk I.,Mosiuk M.,3,1,"['11', '5', '11', '11']","['8', '11', '5', '5']",14.12. 01:00,8fLyOsRl
Kyilo V.,Lisechko A.,3,1,"['3', '11', '11', '11']","['11', '4', '4', '4']",14.12. 00:55,xUiqbF8I
Mytsyk A.,Lymarenko O.,2,3,"['12', '6', '11', '11', '9']","['14', '11', '9', '2', '11']",14.12. 00:55,McFi8aWP
Lutsenko V.,Kasianyk N.,3,2,"['12', '11', '11', '8', '16']","['14', '6', '5', '11', '14']",14.12. 00:40,fVoVXIfD
Kolesnik Y.,Paniotov A.,1,3,"['10', '11', '9', '9']","['12', '6', '11', '11']",14.12. 00:35,W8OhERbG
Chornobab V.,Yurchenko K.,2,3,"['11', '11', '7', '6', '6']","['7', '4', '11', '11', '11']",14.12. 00:30,QVVWONBr
Volkov P.,Onischenko R.,1,3,"['12', '9', '7', '9']","['10', '11', '11', '11']",14.12. 00:25,KhcvaegC
Volkov Y.,Dushak V.,1,3,"['11', '8', '9', '9']","['2', '11', '11', '11']",14.12. 00:25,r7Gm9uHJ
Voitenko Y.,Volynets O.,3,0,"['14', '11', '11']","['12', '9', '7']",14.12. 00:15,4QzJHomI
Dombrovskyi A.,Trydukh I.,3,0,"['11', '12', '11']","['9', '10', '7']",14.12. 00:10,lpZmF7qA
Kozachuk I.,Ivashkin O.,3,0,"['11', '11', '11']","['7', '6', '4']",14.12. 00:05,lAv5T33R
Peretiatko A.,Diachenko I.,1,3,"['8', '6', '14', '10']","['11', '11', '12', '12']",13.12. 23:55,t2bz0yv6
Tkachenko A.,Mytsyk A.,0,3,"['11', '7', '7']","['13', '11', '11']",13.12. 23:55,t2x5pdvJ
Kasianyk N.,Havryliuk B.,2,3,"['6', '11', '7', '11', '7']","['11', '7', '11', '9', '11']",13.12. 23:50,GvmRYbu7
Kolesnik Y.,Hnoievoi R.,3,1,"['11', '3', '11', '11']","['8', '11', '5', '8']",13.12. 23:50,xAVqGmU3
Yurchenko K.,Zholubak M.,0,3,"['5', '5', '7']","['11', '11', '11']",13.12. 23:40,fmu1UqlL
Dushak V.,Lymarenko O.,3,0,"['11', '11', '11']","['9', '9', '6']",13.12. 23:30,SbY0oxPC
Kyilo V.,Volkov P.,3,0,"['11', '13', '11']","['7', '11', '6']",13.12. 23:30,nuaW0HOa
Lutsenko V.,Semenenko N.,3,1,"['11', '11', '12', '11']","['9', '8', '14', '6']",13.12. 23:10,YFcMZvQ0
Paniotov A.,Dombrovskyi A.,3,2,"['8', '3', '11', '11', '11']","['11', '11', '8', '7', '9']",13.12. 23:05,rmWuHTEc
Volkov Y.,Mytsyk A.,0,3,"['9', '5', '7']","['11', '11', '11']",13.12. 23:05,YyZdnI96
Chornobab V.,Mosiuk M.,0,3,"['8', '11', '10']","['11', '13', '12']",13.12. 23:00,GdtcVPYE
Diachenko I.,Lisechko A.,3,1,"['6', '11', '11', '11']","['11', '9', '7', '3']",13.12. 22:55,z5eS1c9g
Voitenko Y.,Kasianyk N.,3,0,"['11', '12', '11']","['8', '10', '9']",13.12. 22:45,zVvJzLAf
Hnoievoi R.,Trydukh I.,3,0,"['11', '11', '12']","['3', '6', '10']",13.12. 22:35,4dXyI9ai
Kozachuk I.,Yurchenko K.,3,1,"['11', '11', '3', '11']","['8', '2', '11', '6']",13.12. 22:30,bLohW5J8
Tkachenko A.,Dushak V.,2,3,"['11', '9', '11', '11', '6']","['13', '11', '9', '7', '11']",13.12. 22:30,fozgmbf0
Peretiatko A.,Onischenko R.,2,3,"['15', '11', '11', '7', '10']","['13', '13', '8', '11', '12']",13.12. 22:25,ht6N2wfm
Semenenko N.,Volynets O.,0,3,"['6', '4', '9']","['11', '11', '11']",13.12. 22:15,t8uFy1el
Kolesnik Y.,Dombrovskyi A.,3,0,"['11', '11', '11']","['5', '5', '8']",13.12. 22:10,SvlggQMj
Mosiuk M.,Ivashkin O.,2,3,"['11', '11', '3', '8', '5']","['9', '9', '11', '11', '11']",13.12. 22:00,KUnlXo42
Volkov P.,Diachenko I.,2,3,"['7', '11', '11', '11', '9']","['11', '13', '7', '9', '11']",13.12. 21:55,WCbtZnIh
Volkov Y.,Lymarenko O.,1,3,"['9', '6', '11', '4']","['11', '11', '8', '11']",13.12. 21:50,0hURFPHU
Lutsenko V.,Havryliuk B.,3,0,"['17', '11', '11']","['15', '9', '5']",13.12. 21:45,2HtBxstr
Paniotov A.,Hnoievoi R.,3,2,"['11', '8', '14', '6', '11']","['9', '11', '12', '11', '8']",13.12. 21:35,llkkf67p
Chornobab V.,Zholubak M.,0,3,"['7', '8', '10']","['11', '11', '12']",13.12. 21:30,6Rb682R1
Kasianyk N.,Semenenko N.,1,3,"['8', '6', '11', '9']","['11', '11', '8', '11']",13.12. 21:25,MNbrsNXQ
Kyilo V.,Onischenko R.,0,3,"['5', '6', '5']","['11', '11', '11']",13.12. 21:25,ll9yzT2n
Dushak V.,Mytsyk A.,0,3,"['4', '8', '8']","['11', '11', '11']",13.12. 21:20,M1VNG52O
Kolesnik Y.,Trydukh I.,1,3,"['9', '6', '11', '7']","['11', '11', '8', '11']",13.12. 21:05,W82NbnaT
Yurchenko K.,Mosiuk M.,1,3,"['6', '4', '11', '9']","['11', '11', '7', '11']",13.12. 21:00,fie29rCe
Peretiatko A.,Lisechko A.,3,2,"['9', '11', '8', '11', '11']","['11', '8', '11', '7', '9']",13.12. 20:55,xE5Xz9mt
Tkachenko A.,Lymarenko O.,3,1,"['12', '5', '12', '11']","['10', '11', '10', '6']",13.12. 20:50,EZIelvuf
Voitenko Y.,Havryliuk B.,2,3,"['11', '6', '8', '11', '10']","['7', '11', '11', '2', '12']",13.12. 20:45,rXavr3IK
Hnoievoi R.,Dombrovskyi A.,3,0,"['11', '11', '11']","['8', '7', '4']",13.12. 20:40,I5bJaSqN
Kozachuk I.,Zholubak M.,3,1,"['11', '11', '7', '11']","['8', '5', '11', '7']",13.12. 20:30,CS5cAOdk
Lutsenko V.,Volynets O.,2,3,"['11', '11', '4', '10', '7']","['4', '8', '11', '12', '11']",13.12. 20:15,lA0zqq3E
Paniotov A.,Trydukh I.,3,0,"['11', '18', '11']","['9', '16', '9']",13.12. 20:10,zs9E08UG
Chornobab V.,Ivashkin O.,2,3,"['10', '8', '11', '11', '8']","['12', '11', '3', '8', '11']",13.12. 20:00,Yy7gB4sq
Balakiriev M.,Sokolov S.,0,3,"['7', '8', '6']","['11', '11', '11']",13.12. 19:25,zqS0bU6g
Khakhamidi P.,Shapoval A.,3,2,"['8', '11', '11', '9', '11']","['11', '8', '8', '11', '9']",13.12. 18:55,tMSdaAim
Hasan Y.,Ivanov L.,1,3,"['17', '3', '6', '4']","['15', '11', '11', '11']",13.12. 18:25,2VTh0jxs
Sokolov S.,Shapoval A.,3,1,"['11', '11', '12', '13']","['13', '9', '10', '11']",13.12. 17:55,nLAOHI7E
Ivanov L.,Balakiriev M.,1,3,"['10', '7', '11', '16']","['12', '11', '7', '18']",13.12. 17:25,8UBKIbh8
Hasan Y.,Khakhamidi P.,3,1,"['7', '11', '11', '11']","['11', '8', '2', '6']",13.12. 16:55,fRNxfFF7
Ivanov L.,Shapoval A.,1,3,"['11', '8', '13', '8']","['2', '11', '15', '11']",13.12. 16:25,tOJYfe01
Khakhamidi P.,Sokolov S.,0,3,"['9', '7', '9']","['11', '11', '11']",13.12. 15:55,baUTeyoe
Hasan Y.,Balakiriev M.,3,1,"['8', '11', '11', '11']","['11', '9', '9', '8']",13.12. 15:25,K8VPdHVl
Ivanov L.,Khakhamidi P.,3,1,"['11', '7', '11', '11']","['7', '11', '4', '4']",13.12. 14:55,CrWLccGr
Balakiriev M.,Shapoval A.,3,2,"['7', '14', '7', '11', '11']","['11', '12', '11', '8', '5']",13.12. 14:25,AZqf2w8R
Hasan Y.,Sokolov S.,3,2,"['8', '11', '7', '11', '12']","['11', '9', '11', '8', '10']",13.12. 13:55,SAfk3JhL
Khakhamidi P.,Balakiriev M.,3,1,"['9', '11', '11', '11']","['11', '8', '8', '5']",13.12. 13:25,0WnSJSFm
Ivanov L.,Sokolov S.,3,1,"['11', '13', '11', '11']","['5', '11', '13', '7']",13.12. 12:55,I7cNK80s
Havryliuk B.,Semenenko N.,3,1,"['11', '11', '6', '11']","['7', '9', '11', '9']",13.12. 12:50,06H9wZDT
Hasan Y.,Shapoval A.,3,1,"['8', '11', '11', '11']","['11', '4', '7', '3']",13.12. 12:25,6VUgxyWE
Lutsenko V.,Kasianyk N.,3,2,"['11', '9', '10', '11', '11']","['5', '11', '12', '8', '6']",13.12. 12:25,MFI5vFbN
Krasutskyi A.,Kolesnykov V.,3,1,"['11', '10', '11', '13']","['7', '12', '6', '11']",13.12. 11:50,4vO0ueqH
Kobets V.,Yushko R.,3,0,"['11', '13', '11']","['5', '11', '5']",13.12. 11:25,WAVDUbnd
Semenenko N.,Kasianyk N.,3,0,"['11', '11', '11']","['7', '6', '9']",13.12. 11:25,QmPdtyUA
Sokoltsov Y.,Pitsyk S.,2,3,"['11', '4', '11', '8', '9']","['6', '11', '9', '11', '11']",13.12. 10:55,hKW9VvXk
Kolesnykov V.,Havryliuk B.,2,3,"['11', '5', '7', '11', '10']","['9', '11', '11', '9', '12']",13.12. 10:50,WQPhsHE4
Chornobab V.,Mosiuk M.,0,3,"['9', '5', '9']","['11', '11', '11']",13.12. 10:45,YgdSUnPs
Semenets S.,Antonenko V.,1,3,"['4', '12', '9', '7']","['11', '10', '11', '11']",13.12. 10:40,GxEIu4w0
Hnoievoi R.,Kolesnik Y.,0,3,"['7', '4', '7']","['11', '11', '11']",13.12. 10:35,E7jo4awF
Kuvaiev R.,Bonishchuk T.,3,1,"['5', '11', '11', '11']","['11', '6', '9', '6']",13.12. 10:25,C8FCWKHq
Krasutskyi A.,Lutsenko V.,3,1,"['4', '11', '11', '11']","['11', '7', '7', '9']",13.12. 10:20,INLlrcab
Drach D.,Pereguda O.,2,3,"['11', '8', '11', '3', '7']","['4', '11', '7', '11', '11']",13.12. 10:10,xnFEtpOg
Dombrovskyi A.,Trydukh I.,3,0,"['11', '11', '11']","['2', '7', '4']",13.12. 10:05,Kpis5uO8
Zholubak M.,Yurchenko K.,2,3,"['7', '9', '11', '11', '13']","['11', '11', '5', '6', '15']",13.12. 10:00,WpA0ZSGQ
Yushko R.,Pitsyk S.,3,0,"['11', '11', '13']","['8', '8', '11']",13.12. 09:55,AaTpy19S
Kolesnykov V.,Kasianyk N.,1,3,"['11', '5', '5', '6']","['9', '11', '11', '11']",13.12. 09:50,zaWqqwph
Yurenev O.,Yakimenko S.,3,0,"['11', '11', '11']","['9', '6', '8']",13.12. 09:40,KAK9sQ8m
Solomko R.,Paniotov A.,3,1,"['10', '11', '11', '11']","['12', '6', '5', '2']",13.12. 09:35,tfhw6L82
Korovychenko V.,Ivashkin O.,3,2,"['11', '11', '5', '9', '11']","['4', '8', '11', '11', '9']",13.12. 09:30,jZh3z91K
Bonishchuk T.,Kobets V.,2,3,"['6', '11', '7', '11', '9']","['11', '9', '11', '7', '11']",13.12. 09:25,GxUtxsfM
Lutsenko V.,Semenenko N.,3,1,"['9', '11', '11', '11']","['11', '9', '6', '4']",13.12. 09:20,d8XupJUo
Antonenko V.,Pereguda O.,2,3,"['6', '5', '11', '11', '9']","['11', '11', '4', '9', '11']",13.12. 09:10,tKL5r6gs
Kolesnik Y.,Trydukh I.,3,1,"['9', '11', '11', '11']","['11', '6', '9', '8']",13.12. 09:10,4x9fsxW1
Mosiuk M.,Yurchenko K.,3,2,"['11', '11', '10', '8', '11']","['3', '2', '12', '11', '5']",13.12. 09:00,CrfayknE
Kuvaiev R.,Sokoltsov Y.,3,2,"['11', '8', '13', '11', '11']","['9', '11', '15', '8', '8']",13.12. 08:55,2ZPxwNvG
Krasutskyi A.,Havryliuk B.,3,0,"['15', '11', '11']","['13', '6', '8']",13.12. 08:50,riUbLZio
Ivashkin O.,Chornobab V.,0,3,"['9', '8', '6']","['11', '11', '11']",13.12. 08:40,bu6HC59D
Yakimenko S.,Semenets S.,3,1,"['11', '11', '6', '11']","['5', '9', '11', '5']",13.12. 08:40,OvZwmnoQ
Paniotov A.,Hnoievoi R.,3,2,"['11', '11', '7', '11', '13']","['13', '7', '11', '7', '11']",13.12. 08:35,QoAjrIGe
Bonishchuk T.,Pitsyk S.,0,3,"['6', '7', '8']","['11', '11', '11']",13.12. 08:25,KAzYw3P9
Kolesnykov V.,Lutsenko V.,3,1,"['15', '6', '12', '11']","['13', '11', '10', '8']",13.12. 08:20,6R6Vx2NI
Korovychenko V.,Zholubak M.,0,3,"['7', '15', '8']","['11', '17', '11']",13.12. 08:15,px2DDof7
Solomko R.,Dombrovskyi A.,3,1,"['11', '11', '8', '11']","['6', '5', '11', '5']",13.12. 08:15,WOAnqb1k
Yurenev O.,Drach D.,3,0,"['11', '11', '11']","['4', '7', '7']",13.12. 08:10,C4VZmSVJ
Sokoltsov Y.,Yushko R.,3,0,"['11', '11', '11']","['8', '3', '8']",13.12. 07:55,tKyUvqA3
Havryliuk B.,Kasianyk N.,3,1,"['11', '7', '12', '12']","['8', '11', '10', '10']",13.12. 07:50,O2HQwr8C
Ivashkin O.,Yurchenko K.,2,3,"['8', '11', '10', '13', '10']","['11', '8', '12', '11', '12']",13.12. 07:45,2DC8ERv1
Yakimenko S.,Pereguda O.,1,3,"['10', '11', '11', '9']","['12', '13', '8', '11']",13.12. 07:40,AaiiPrgJ
Paniotov A.,Trydukh I.,3,1,"['11', '11', '14', '16']","['7', '6', '16', '14']",13.12. 07:35,Ywhqpvnq
Kuvaiev R.,Kobets V.,1,3,"['13', '8', '4', '2']","['11', '11', '11', '11']",13.12. 07:25,CpXPuPfc
Krasutskyi A.,Semenenko N.,3,2,"['7', '7', '11', '11', '11']","['11', '11', '4', '8', '8']",13.12. 07:20,AaDMvOh6
Drach D.,Antonenko V.,3,1,"['19', '11', '11', '11']","['21', '5', '6', '6']",13.12. 07:10,W8hmQOwD
Dombrovskyi A.,Kolesnik Y.,0,3,"['6', '10', '9']","['11', '12', '11']",13.12. 07:05,SdFGlKwS
Zholubak M.,Mosiuk M.,3,2,"['11', '10', '11', '6', '11']","['9', '12', '6', '11', '9']",13.12. 07:00,OMD4F7Pf
Bonishchuk T.,Sokoltsov Y.,1,3,"['7', '11', '9', '3']","['11', '8', '11', '11']",13.12. 06:55,YgYLt5ui
Lutsenko V.,Havryliuk B.,2,3,"['7', '8', '11', '11', '10']","['11', '11', '8', '9', '12']",13.12. 06:50,ptx1Y6Dq
Yurenev O.,Semenets S.,3,0,"['11', '12', '11']","['5', '10', '8']",13.12. 06:40,2ZmqR4O6
Solomko R.,Hnoievoi R.,1,3,"['11', '9', '8', '5']","['7', '11', '11', '11']",13.12. 06:35,l6GCk0OL
Korovychenko V.,Chornobab V.,0,3,"['8', '8', '5']","['11', '11', '11']",13.12. 06:30,fm90GmAl
Kobets V.,Pitsyk S.,2,3,"['11', '10', '6', '11', '4']","['9', '12', '11', '5', '11']",13.12. 06:25,UL7uYCyi
Kolesnykov V.,Semenenko N.,0,3,"['6', '6', '5']","['11', '11', '11']",13.12. 06:20,vaaYxm5S
Yakimenko S.,Drach D.,3,1,"['3', '11', '11', '11']","['11', '7', '8', '4']",13.12. 06:10,OrkuSp90
Ivashkin O.,Zholubak M.,0,3,"['4', '6', '4']","['11', '11', '11']",13.12. 06:05,GdAdHTfr
Paniotov A.,Dombrovskyi A.,3,0,"['12', '11', '11']","['10', '4', '8']",13.12. 06:05,KWB8jt9F
Kuvaiev R.,Yushko R.,2,3,"['11', '9', '9', '15', '6']","['5', '11', '11', '13', '11']",13.12. 05:55,Io4yZhMp
Krasutskyi A.,Kasianyk N.,3,0,"['11', '11', '11']","['3', '6', '9']",13.12. 05:50,080UwTkM
Semenets S.,Pereguda O.,0,3,"['5', '11', '9']","['11', '13', '11']",13.12. 05:40,tKazTQgf
Hnoievoi R.,Trydukh I.,3,0,"['11', '11', '11']","['8', '5', '8']",13.12. 05:35,ttD4iMg9
Chornobab V.,Yurchenko K.,2,3,"['13', '11', '5', '10', '10']","['11', '6', '11', '12', '12']",13.12. 05:30,AFXTL9nR
Sokoltsov Y.,Kobets V.,3,0,"['11', '11', '11']","['3', '7', '7']",13.12. 05:30,WdvDV4c2
Yurenev O.,Antonenko V.,2,3,"['11', '11', '2', '11', '8']","['4', '9', '11', '13', '11']",13.12. 05:10,SGeWT6vl
Solomko R.,Kolesnik Y.,1,3,"['11', '6', '14', '8']","['8', '11', '16', '11']",13.12. 05:05,bHNah2v3
Korovychenko V.,Mosiuk M.,1,3,"['10', '13', '8', '7']","['12', '11', '11', '11']",13.12. 05:00,CUEQMkXK
Bonishchuk T.,Yushko R.,2,3,"['11', '10', '11', '9', '13']","['7', '12', '6', '11', '15']",13.12. 04:55,h6u9Wprd
Drach D.,Semenets S.,1,3,"['6', '11', '4', '11']","['11', '6', '11', '13']",13.12. 04:40,WYeQv9zG
Dombrovskyi A.,Hnoievoi R.,3,2,"['4', '11', '11', '11', '11']","['11', '13', '3', '8', '9']",13.12. 04:35,C8VkwHG8
Zholubak M.,Chornobab V.,3,1,"['6', '11', '11', '11']","['11', '4', '3', '5']",13.12. 04:30,bq4DsBjc
Kuvaiev R.,Pitsyk S.,1,3,"['12', '6', '3', '6']","['10', '11', '11', '11']",13.12. 04:25,bqt5XQSk
Yakimenko S.,Antonenko V.,1,3,"['10', '11', '5', '9']","['12', '4', '11', '11']",13.12. 04:10,hrcMukL9
Paniotov A.,Kolesnik Y.,2,3,"['11', '8', '11', '15', '4']","['8', '11', '13', '13', '11']",13.12. 04:05,YHWovc12
Ivashkin O.,Mosiuk M.,0,3,"['8', '8', '9']","['11', '11', '11']",13.12. 04:00,ptGVIRDd
Kovalchuk O.,Shyndel I.,1,3,"['11', '8', '9', '10']","['8', '11', '11', '12']",13.12. 03:55,vHGIOB28
Martyniuk A.,Demchuk D.,3,1,"['11', '7', '12', '11']","['3', '11', '10', '6']",13.12. 03:50,8AcC7JRG
Yurenev O.,Pereguda O.,1,3,"['9', '5', '11', '9']","['11', '11', '6', '11']",13.12. 03:40,AJ7HtV53
Solomko R.,Trydukh I.,3,1,"['11', '6', '11', '12']","['5', '11', '7', '10']",13.12. 03:35,pEJegrPd
Korovychenko V.,Yurchenko K.,0,3,"['7', '7', '8']","['11', '11', '11']",13.12. 03:30,I7FMNVHE
Kanunnikov I.,Dukhovenko O.,3,1,"['11', '7', '11', '11']","['9', '11', '6', '6']",13.12. 03:25,2aXZaSP7
Melnykov V.,Varchenko V.,3,0,"['11', '11', '11']","['1', '2', '6']",13.12. 03:20,dzf88aCA
Dynaburg L.,Burdelnyi S.,2,3,"['11', '7', '4', '11', '7']","['5', '11', '11', '6', '11']",13.12. 03:10,2w0Qcrbh
Tkachenko A.,Tatarnykov V.,2,3,"['11', '11', '6', '2', '11']","['9', '6', '11', '11', '13']",13.12. 03:00,GtIPSNbI
Mishchenko O.,Chepurnyi A.,2,3,"['11', '9', '6', '11', '9']","['7', '11', '11', '6', '11']",13.12. 02:55,O8YV08A1
Novikov A.,Dushak V.,3,0,"['16', '18', '11']","['14', '16', '5']",13.12. 02:50,EB439uc4
Atamanchuk D.,Yakymchuk Y.,3,2,"['8', '14', '13', '11', '11']","['11', '12', '15', '5', '9']",13.12. 02:40,KEALbOrn
Mytsyk A.,Populovskyi E.,3,1,"['11', '11', '10', '11']","['8', '6', '12', '5']",13.12. 02:30,8GILT3qC
Shyndel I.,Dukhovenko O.,2,3,"['11', '11', '10', '9', '8']","['8', '9', '12', '11', '11']",13.12. 02:25,UoZR1lee
Demchuk D.,Varchenko V.,2,3,"['11', '12', '5', '7', '8']","['4', '10', '11', '11', '11']",13.12. 02:20,zL5aALsb
Dekhtiarenko A.,Pakhnyuk V.,0,3,"['5', '9', '8']","['11', '11', '11']",13.12. 02:10,tOBHa4Tu
Chernyshov D.,Skhabitskiy S.,0,3,"['6', '8', '8']","['11', '11', '11']",13.12. 02:00,UPJHUqU5
Chepurnyi A.,Kovalchuk O.,0,3,"['8', '8', '9']","['11', '11', '11']",13.12. 01:55,GrVN2Uuk
Dushak V.,Martyniuk A.,0,3,"['8', '9', '7']","['11', '11', '11']",13.12. 01:50,6o1eB1Si
Burdelnyi S.,Yakymchuk Y.,1,3,"['7', '7', '11', '8']","['11', '11', '6', '11']",13.12. 01:40,UkVBvLcU
Tatarnykov V.,Populovskyi E.,3,0,"['11', '11', '11']","['9', '3', '7']",13.12. 01:30,n1UCVPEa
Mishchenko O.,Kanunnikov I.,2,3,"['8', '10', '11', '11', '8']","['11', '12', '6', '6', '11']",13.12. 01:25,YJuJ3AQr
Novikov A.,Melnykov V.,0,3,"['9', '7', '10']","['11', '11', '12']",13.12. 01:20,Sf2iCsDo
Pakhnyuk V.,Dynaburg L.,3,1,"['11', '11', '10', '11']","['7', '7', '12', '5']",13.12. 01:10,jaW7u1rO
Skhabitskiy S.,Tkachenko A.,3,1,"['11', '9', '11', '11']","['7', '11', '6', '9']",13.12. 01:00,YcQ8W5ag
Chepurnyi A.,Dukhovenko O.,3,1,"['12', '5', '13', '11']","['10', '11', '11', '6']",13.12. 00:55,WAgi8jIR
Dushak V.,Varchenko V.,3,0,"['11', '15', '11']","['8', '13', '3']",13.12. 00:50,QkO8mbzo
Dekhtiarenko A.,Atamanchuk D.,1,3,"['11', '6', '9', '8']","['5', '11', '11', '11']",13.12. 00:40,8zs3tsTH
Chernyshov D.,Mytsyk A.,0,3,"['7', '4', '9']","['11', '11', '11']",13.12. 00:30,vyR4Xopm
Kanunnikov I.,Shyndel I.,3,2,"['11', '10', '9', '11', '11']","['6', '12', '11', '7', '6']",13.12. 00:25,Opfm9W2L
Melnykov V.,Demchuk D.,3,2,"['8', '11', '8', '11', '11']","['11', '5', '11', '8', '9']",13.12. 00:20,lUWthvST
Pakhnyuk V.,Yakymchuk Y.,3,0,"['11', '11', '11']","['9', '3', '4']",13.12. 00:10,d0wasNDB
Skhabitskiy S.,Populovskyi E.,3,1,"['11', '6', '11', '11']","['8', '11', '4', '7']",13.12. 00:00,0pS0YRUt
Mishchenko O.,Kovalchuk O.,1,3,"['11', '9', '9', '9']","['9', '11', '11', '11']",12.12. 23:55,pfeqACmF
Novikov A.,Martyniuk A.,2,3,"['12', '11', '4', '5', '7']","['10', '2', '11', '11', '11']",12.12. 23:50,f7XxgKCN
Atamanchuk D.,Burdelnyi S.,3,2,"['4', '12', '11', '5', '11']","['11', '10', '4', '11', '2']",12.12. 23:40,2wver3b5
Mytsyk A.,Tatarnykov V.,3,1,"['11', '8', '11', '11']","['9', '11', '4', '6']",12.12. 23:30,KjpYx8MP
Chepurnyi A.,Kanunnikov I.,1,3,"['9', '8', '11', '3']","['11', '11', '3', '11']",12.12. 23:25,2V5vBhY8
Dushak V.,Melnykov V.,2,3,"['9', '11', '13', '6', '8']","['11', '7', '11', '11', '11']",12.12. 23:20,GGYYg0cH
Dekhtiarenko A.,Dynaburg L.,3,1,"['11', '8', '11', '11']","['7', '11', '7', '6']",12.12. 23:10,Onuiqqqa
Chernyshov D.,Tkachenko A.,3,0,"['13', '11', '11']","['11', '9', '6']",12.12. 23:00,t0oUwl7J
Kovalchuk O.,Dukhovenko O.,3,1,"['11', '11', '7', '11']","['7', '4', '11', '6']",12.12. 22:55,lS1zCYI2
Martyniuk A.,Varchenko V.,3,1,"['11', '7', '11', '11']","['4', '11', '6', '8']",12.12. 22:50,lf2xetrB
Pakhnyuk V.,Atamanchuk D.,3,2,"['10', '11', '6', '12', '11']","['12', '7', '11', '10', '8']",12.12. 22:40,6BpnpPTh
Skhabitskiy S.,Mytsyk A.,3,1,"['8', '12', '12', '11']","['11', '10', '10', '9']",12.12. 22:30,SdcnF4UI
Mishchenko O.,Shyndel I.,3,0,"['11', '11', '11']","['5', '7', '9']",12.12. 22:25,zPDhmkt2
Novikov A.,Demchuk D.,3,2,"['7', '7', '11', '13', '11']","['11', '11', '7', '11', '5']",12.12. 22:20,A33YeMS4
Dynaburg L.,Yakymchuk Y.,3,1,"['8', '11', '12', '11']","['11', '8', '10', '7']",12.12. 22:10,SKoro5En
Tkachenko A.,Populovskyi E.,1,3,"['5', '11', '9', '6']","['11', '6', '11', '11']",12.12. 22:00,UBvqGpFC
Kanunnikov I.,Kovalchuk O.,3,2,"['7', '11', '11', '4', '11']","['11', '6', '5', '11', '6']",12.12. 21:55,dYEllVQe
Melnykov V.,Martyniuk A.,3,0,"['11', '12', '11']","['6', '10', '6']",12.12. 21:50,6kHRJ7bj
Dekhtiarenko A.,Burdelnyi S.,3,1,"['5', '11', '11', '11']","['11', '7', '9', '5']",12.12. 21:40,Ycnvnoat
Chernyshov D.,Tatarnykov V.,3,2,"['13', '4', '5', '11', '11']","['11', '11', '11', '8', '7']",12.12. 21:30,nmkvHQa6
Chepurnyi A.,Shyndel I.,1,3,"['9', '5', '11', '9']","['11', '11', '7', '11']",12.12. 21:25,vcKqkBBk
Dushak V.,Demchuk D.,3,0,"['11', '11', '11']","['6', '9', '8']",12.12. 21:20,lEMMKmqp
Atamanchuk D.,Dynaburg L.,1,3,"['6', '11', '7', '4']","['11', '4', '11', '11']",12.12. 21:10,n5zePTzT
Mytsyk A.,Tkachenko A.,1,3,"['9', '9', '11', '8']","['11', '11', '8', '11']",12.12. 21:00,hryiQ9LM
Mishchenko O.,Dukhovenko O.,1,3,"['11', '6', '6', '5']","['2', '11', '11', '11']",12.12. 20:55,06Lujidq
Novikov A.,Varchenko V.,3,0,"['13', '11', '11']","['11', '7', '9']",12.12. 20:50,Gt4Ud2Db
Pakhnyuk V.,Burdelnyi S.,3,0,"['13', '11', '14']","['11', '4', '12']",12.12. 20:40,dxeCjRjP
Skhabitskiy S.,Tatarnykov V.,0,3,"['10', '8', '5']","['12', '11', '11']",12.12. 20:30,8djzI6p0
Dekhtiarenko A.,Yakymchuk Y.,2,3,"['8', '11', '9', '11', '4']","['11', '9', '11', '4', '11']",12.12. 20:10,fXGTRsEO
Chernyshov D.,Populovskyi E.,3,0,"['13', '11', '11']","['11', '9', '4']",12.12. 20:00,vNoWInVg
