,lPlayer,rPlayer,id,mergeCol
3427,Menshikov A.,Novikov I.,zwFYoiqN,Menshikov A.zwFYoiqN
3428,Menshikov A.,Zhulyabin V.,dSuRSBxo,Menshikov A.dSuRSBxo
3429,Kuzmin S.,Menshikov A.,GfkWwxon,Kuzmin S.GfkWwxon
3430,Menshikov A.,Zhulyabin V.,OdUMJWAi,Menshikov A.OdUMJWAi
3431,Menshikov A.,Zhulyabin V.,6VlfHKXu,Menshikov A.6VlfHKXu
3432,Menshikov A.,Kuzmin S.,v1IP1uYh,Menshikov A.v1IP1uYh
3433,Basmanov D.,Menshikov A.,QchjmtJa,Basmanov D.QchjmtJa
3434,Novikov I.,Menshikov A.,IVRwt5Xa,Novikov I.IVRwt5Xa
3435,Menshikov A.,Novikov I.,xQRRoUHQ,Menshikov A.xQRRoUHQ
3436,Basmanov D.,Menshikov A.,SfpyP6AD,Basmanov D.SfpyP6AD
3437,Menshikov A.,Kuzmin S.,0CxMlxXE,Menshikov A.0CxMlxXE
3438,Menshikov A.,Basmanov D.,lzfvzipK,Menshikov A.lzfvzipK
3439,Zhulyabin V.,Menshikov A.,2HlVhrUH,Zhulyabin V.2HlVhrUH
3440,Novikov I.,Menshikov A.,2HCw3SiP,Novikov I.2HCw3SiP
3441,Menshikov A.,Basmanov D.,hnVnt5pC,Menshikov A.hnVnt5pC
3442,Kuzmin S.,Menshikov A.,j5kgCaw0,Kuzmin S.j5kgCaw0
3443,Menshikov A.,Novikov I.,2shbnJu4,Menshikov A.2shbnJu4
3444,Menshikov A.,Zhulyabin V.,SnQaD71H,Menshikov A.SnQaD71H
3445,Kuzmin S.,Menshikov A.,QuLyJBXu,Kuzmin S.QuLyJBXu
3446,Menshikov A.,Novikov I.,QFyiQXek,Menshikov A.QFyiQXek
3447,Menshikov A.,Novikov I.,0bymZP7G,Menshikov A.0bymZP7G
3448,Menshikov A.,Basmanov D.,KlF7l2CR,Menshikov A.KlF7l2CR
3449,Kuzmin S.,Menshikov A.,QTncvNL7,Kuzmin S.QTncvNL7
3450,Menshikov A.,Basmanov D.,SrMNLTfb,Menshikov A.SrMNLTfb
3451,Novikov I.,Menshikov A.,IDvXb6mo,Novikov I.IDvXb6mo
3452,Menshikov A.,Kuzmin S.,p04XACtt,Menshikov A.p04XACtt
3453,Menshikov A.,Basmanov D.,th7s6kA3,Menshikov A.th7s6kA3
3454,Ramensky I.,Menshikov A.,W4EUeKl0,Ramensky I.W4EUeKl0
3455,Menshikov A.,Basmanov D.,Obuo4rsK,Menshikov A.Obuo4rsK
3456,Menshikov A.,Basmanov D.,hvo4uOIb,Menshikov A.hvo4uOIb
3457,Menshikov A.,Basmanov D.,ncpeOoCU,Menshikov A.ncpeOoCU
3458,Menshikov A.,Novikov I.,2VX3zh5P,Menshikov A.2VX3zh5P
3459,Kuzmin S.,Menshikov A.,b1c4FjTa,Kuzmin S.b1c4FjTa
3460,Ramensky I.,Menshikov A.,zgJX0yUd,Ramensky I.zgJX0yUd
3461,Menshikov A.,Ramensky I.,Agpp00Gj,Menshikov A.Agpp00Gj
3462,Novikov I.,Menshikov A.,Ie557rOG,Novikov I.Ie557rOG
3463,Menshikov A.,Kuzmin S.,x4tGR6AO,Menshikov A.x4tGR6AO
3464,Menshikov A.,Ramensky I.,48XFoI8Q,Menshikov A.48XFoI8Q
3465,Menshikov A.,Ramensky I.,xKS0AGbH,Menshikov A.xKS0AGbH
3466,Novikov I.,Menshikov A.,nVZmDIEb,Novikov I.nVZmDIEb
3467,Menshikov A.,Kuzmin S.,jTXozOaj,Menshikov A.jTXozOaj
3468,Kuzmin S.,Menshikov A.,K2n2T8Y6,Kuzmin S.K2n2T8Y6
3469,Kuzmin S.,Menshikov A.,IFHCtRam,Kuzmin S.IFHCtRam
3470,Menshikov A.,Ramensky I.,SnU9qfGR,Menshikov A.SnU9qfGR
3471,Novikov I.,Menshikov A.,Gt0Vlxu1,Novikov I.Gt0Vlxu1
3472,Menshikov A.,Ramensky I.,YiPZ79cg,Menshikov A.YiPZ79cg
3473,Menshikov A.,Novikov I.,QRadfjTg,Menshikov A.QRadfjTg
3474,Zhulyabin V.,Menshikov A.,KQGD2ELD,Zhulyabin V.KQGD2ELD
3475,Ramensky I.,Menshikov A.,0tU6Qaia,Ramensky I.0tU6Qaia
3476,Ramensky I.,Menshikov A.,lz6kvu0F,Ramensky I.lz6kvu0F
3477,Menshikov A.,Novikov I.,f1ffKJ8q,Menshikov A.f1ffKJ8q
3478,Zhulyabin V.,Menshikov A.,CMCIWgcD,Zhulyabin V.CMCIWgcD
3479,Menshikov A.,Kuzmin S.,G0GfudOl,Menshikov A.G0GfudOl
3480,Kuzmin S.,Menshikov A.,OrJVQxrj,Kuzmin S.OrJVQxrj
3481,Menshikov A.,Zhulyabin V.,E5DpnmEb,Menshikov A.E5DpnmEb
3482,Kutuzov O.,Menshikov A.,SfACefnl,Kutuzov O.SfACefnl
3483,Menshikov A.,Novikov I.,hpvodVWt,Menshikov A.hpvodVWt
3484,Menshikov A.,Novikov I.,EkZHmKOf,Menshikov A.EkZHmKOf
3485,Kutuzov O.,Menshikov A.,pGUDl09l,Kutuzov O.pGUDl09l
3486,Menshikov A.,Zhulyabin V.,I1nUXGSu,Menshikov A.I1nUXGSu
3487,Novikov I.,Menshikov A.,WdEfob5t,Novikov I.WdEfob5t
3488,Kuzmin S.,Menshikov A.,f5zEhXgr,Kuzmin S.f5zEhXgr
3489,Novikov I.,Menshikov A.,nPrruEPr,Novikov I.nPrruEPr
3490,Menshikov A.,Zhulyabin V.,WWOT8kqm,Menshikov A.WWOT8kqm
3491,Menshikov A.,Kutuzov O.,UZlWH373,Menshikov A.UZlWH373
3492,Kutuzov O.,Menshikov A.,6ylWXFPm,Kutuzov O.6ylWXFPm
3493,Menshikov A.,Kuzmin S.,MV66Hfu7,Menshikov A.MV66Hfu7
3494,Novikov I.,Menshikov A.,2VFFkQYa,Novikov I.2VFFkQYa
3495,Menshikov A.,Novikov I.,80dKYztb,Menshikov A.80dKYztb
3496,Kutuzov O.,Menshikov A.,vBNqCvnU,Kutuzov O.vBNqCvnU
3497,Menshikov A.,Novikov I.,25WOG2Xb,Menshikov A.25WOG2Xb
3498,Kuzmin S.,Menshikov A.,nyecyzEk,Kuzmin S.nyecyzEk
3499,Novikov I.,Menshikov A.,MoBh0wge,Novikov I.MoBh0wge
3500,Menshikov A.,Kuzmin S.,OOhIfa3j,Menshikov A.OOhIfa3j
3501,Menshikov A.,Novikov I.,dUd1HMA3,Menshikov A.dUd1HMA3
3502,Kutuzov O.,Menshikov A.,j7S6k7Mn,Kutuzov O.j7S6k7Mn
3503,Novikov I.,Menshikov A.,tUUVQGzm,Novikov I.tUUVQGzm
3504,Menshikov A.,Kutuzov O.,bXP9lKH7,Menshikov A.bXP9lKH7
3505,Kuzmin S.,Menshikov A.,CGNciMXl,Kuzmin S.CGNciMXl
3506,Menshikov A.,Novikov I.,jkaOLUs4,Menshikov A.jkaOLUs4
3507,Suntsov A.,Menshikov A.,0zLpNqeK,Suntsov A.0zLpNqeK
3508,Suntsov A.,Menshikov A.,6wqxJdc3,Suntsov A.6wqxJdc3
3509,Kutuzov O.,Menshikov A.,8rHB2yDM,Kutuzov O.8rHB2yDM
3510,Menshikov A.,Novikov I.,KKTRohWD,Menshikov A.KKTRohWD
3511,Menshikov A.,Kutuzov O.,4OcCkNJr,Menshikov A.4OcCkNJr
3512,Kutuzov O.,Menshikov A.,pYHHu3UE,Kutuzov O.pYHHu3UE
3513,Menshikov A.,Kuzmin S.,2oApselM,Menshikov A.2oApselM
3514,Suntsov A.,Menshikov A.,K0czpHgs,Suntsov A.K0czpHgs
3515,Menshikov A.,Kuzmin S.,neu6ILKd,Menshikov A.neu6ILKd
3516,Suntsov A.,Menshikov A.,K2U9jvYA,Suntsov A.K2U9jvYA
3517,Menshikov A.,Novikov I.,ATKpjAMU,Menshikov A.ATKpjAMU
3518,Kuzmin S.,Menshikov A.,Ag82ZQuM,Kuzmin S.Ag82ZQuM
3519,Maksakov S.,Menshikov A.,pYHom0I3,Maksakov S.pYHom0I3
3520,Menshikov A.,Kutuzov O.,IsU6vjP9,Menshikov A.IsU6vjP9
3521,Menshikov A.,Maksakov S.,O0KyfA7a,Menshikov A.O0KyfA7a
3522,Novikov I.,Menshikov A.,vNBWJT6n,Novikov I.vNBWJT6n
3523,Menshikov A.,Novikov I.,IempFbfi,Menshikov A.IempFbfi
3524,Menshikov A.,Maksakov S.,bHoF1uQi,Menshikov A.bHoF1uQi
3525,Maksakov S.,Menshikov A.,rXaUYCdO,Maksakov S.rXaUYCdO
3526,Menshikov A.,Maksakov S.,QyJLS16g,Menshikov A.QyJLS16g
3527,Kutuzov O.,Menshikov A.,nTKpmEVn,Kutuzov O.nTKpmEVn
3528,Menshikov A.,Novikov I.,4lskiBJ6,Menshikov A.4lskiBJ6
3529,Kutuzov O.,Menshikov A.,dOwsgXlf,Kutuzov O.dOwsgXlf
3530,Novikov I.,Menshikov A.,WrL7kx4o,Novikov I.WrL7kx4o
3531,Maksakov S.,Menshikov A.,Qs63dxL5,Maksakov S.Qs63dxL5
3532,Novikov I.,Menshikov A.,4K1ShFyS,Novikov I.4K1ShFyS
3533,Menshikov A.,Kutuzov O.,O4ramgak,Menshikov A.O4ramgak
